Date,Open,High,Low,Close,Volume
03/21/2023,"130.50","132.50","129.50","132.00","9,067,891"
03/20/2023,"132.00","132.00","128.00","129.50","20,793,289"
03/17/2023,"132.00","133.00","130.50","132.00","22,388,760"
03/16/2023,"128.50","131.00","127.50","129.50","24,874,439"
03/15/2023,"129.50","132.00","129.00","131.50","23,562,840"
03/14/2023,"126.00","129.50","126.00","126.50","50,094,566"
03/13/2023,"135.00","135.50","128.00","128.00","56,977,621"
03/10/2023,"135.50","136.00","135.50","136.00","15,381,100"
03/09/2023,"137.50","139.00","137.00","137.50","15,202,580"
03/08/2023,"139.50","140.00","137.50","137.50","22,030,000"
03/07/2023,"140.00","141.00","139.50","141.00","14,540,860"
03/03/2023,"137.50","139.50","137.00","139.50","14,833,960"
03/02/2023,"137.00","138.00","136.50","137.00","10,570,720"
03/01/2023,"137.50","138.00","136.50","136.50","10,184,860"
02/28/2023,"136.50","138.50","136.50","137.00","17,436,891"
02/27/2023,"136.00","136.50","135.50","136.00","14,156,980"
02/24/2023,"136.50","138.00","135.50","135.50","19,335,949"
02/23/2023,"137.00","137.00","135.50","137.00","22,589,090"
02/22/2023,"138.50","139.00","136.50","136.50","25,130,340"
02/21/2023,"139.00","139.50","135.00","139.50","56,697,512"
02/20/2023,"138.50","140.50","138.00","139.00","35,625,262"
02/17/2023,"138.50","139.00","137.50","138.00","10,767,680"
02/16/2023,"141.00","141.50","138.50","139.50","18,629,680"
02/15/2023,"142.50","142.50","141.00","141.50","15,608,320"
02/14/2023,"144.00","144.00","142.50","142.50","8,933,243"
02/13/2023,"142.50","144.00","142.50","143.50","4,903,885"
02/10/2023,"144.50","145.00","143.00","143.00","17,662,320"
02/09/2023,"143.50","144.50","143.00","144.50","11,075,620"
02/08/2023,"143.50","144.50","143.50","143.50","6,388,329"
02/07/2023,"144.00","144.50","143.50","143.50","7,124,224"
02/06/2023,"143.50","144.50","143.50","144.00","7,787,889"
02/03/2023,"144.50","145.00","143.50","144.00","9,657,948"
02/02/2023,"144.50","145.50","144.00","144.00","12,262,370"
02/01/2023,"145.00","146.00","144.00","144.50","20,723,000"
01/31/2023,"146.00","146.00","144.00","145.00","15,797,680"
01/30/2023,"148.00","148.50","146.00","146.00","16,263,910"
01/27/2023,"147.00","148.50","146.00","147.50","33,626,219"
01/26/2023,"145.00","146.00","144.50","145.50","19,282,090"
01/25/2023,"144.00","144.50","143.00","143.50","14,192,760"
01/24/2023,"144.50","145.50","143.50","143.50","19,028,211"
01/23/2023,"144.50","145.00","143.00","143.50","32,490,189"
01/20/2023,"148.00","148.00","144.50","144.50","80,331,148"
01/19/2023,"151.00","154.00","151.00","153.50","11,864,640"
01/18/2023,"152.00","153.00","151.00","152.50","13,144,570"
01/17/2023,"155.00","156.00","152.50","153.00","10,529,750"
01/16/2023,"155.00","156.00","154.50","155.00","8,221,214"
01/13/2023,"157.00","157.50","155.00","155.00","18,660,240"
01/12/2023,"156.00","157.50","155.50","156.50","20,232,070"
01/11/2023,"155.00","155.50","154.00","155.00","17,712,971"
01/10/2023,"155.00","155.50","153.50","155.50","17,721,750"
01/09/2023,"154.50","155.00","153.00","154.50","11,929,550"
01/06/2023,"152.00","154.00","151.50","153.00","12,704,890"
01/05/2023,"152.50","154.00","150.50","151.00","24,464,631"
01/04/2023,"149.00","151.50","149.00","151.50","23,017,061"
